id;comment;feelings;input_date;usuario_id
1;admin: Creativo Increible;0;2021-11-30;1
2;user: multitarea transmitter HDD;5;2021-11-29;2
3;prueba1: Account invoice;10;2021-11-30;3
4;prueba2: back-end;10;2021-11-30;4
5;prueba3: disintermediate payment SCSI;5;2021-11-29;5
6;prueba4: Heredado configurable;0;2021-11-30;6
7;prueba5: utilize;5;2021-11-30;7
8;prueba6: matrix content Salchichas;0;2021-11-30;8
9;prueba7: Aragón Informática magnetic;10;2021-11-30;9
10;gonguelun: Gorro Navarra;5;2021-11-30;10
