id;name;description;created_at;is_private;milestones_url
1;Artesanal Gris;feed LoanXXXXXXXXXXX;2021-11-01;true;a
2;mano;AGP OpcionalXXXXXXXX;2021-11-01;false;a
3;Hormigon;MarcaXXXXXXXXXXXXXXX;2021-10-31;true;a
4;Cara Mauritania;generate Japón Juguetería;2021-10-31;false;a
5;escalable Buckinghamshire Avenida;open-source calculating portal;2021-10-31;true;a
6;Inteligente;PCI reboot Artesanal;2021-11-01;false;a
7;Inteligente Loan;scalableXXXXXXXXXXXX;2021-11-01;true;a
8;Comunidad Librería Checking;back-endXXXXXXXXXXXX;2021-11-01;false;a
9;Baleares Metal Moda;Danish hack embraceX;2021-11-01;true;a
10;Granito Granito;SAS regional Hormigon;2021-10-31;false;a
